Genitiv;als Attribut;fundus avi
Genitiv;des Teils;multitudo hominum
Genitiv;des Teils;magna vis vini
Genitiv;des Wertes;hae merces magni sunt
Genitiv;des Wertes;romani pericula parvi aestimaverunt
Genitiv;der Zugehörigkeit;haec ornamenta sunt matris
Genitiv;der Zugehörigkeit;magistri est discipulos docere
Genitiv;der Zugehörigkeit;philosophi est bene orare
Genitiv;subiectivus/obiectivus;amor patris
Genitiv;subiectivus/obiectivus;amor patriae
Genitiv;subiectivus/obiectivus;timor hostium
Genitiv;subiectivus/obiectivus;timor cladis
Genitiv;der Beschaffenheit;eius modi res
Genitiv;der Beschaffenheit;vir magni ingenii
Genitiv;bei Verben der Gerichtssprache; athenienses Socratem capitis damnaverunt
Dativ;als Objekt;tibi librum do
Dativ;des Besitzers;patri villa est
Dativ;des Zwecks;hoc librum magno usui est
Dativ;des Zwecks;fortiter pugnare magno honori est
Dativ;des Vorteils;non vitae, sed scholae discimus
Dativ;des Vorteils;id non mihi facio, sed tibi
Akkusativ;als Objekt;amicum video
Akkusativ;als Objekt;vitam otiosam agimus
Akkusativ;der Ausdehnung;multos annos vixit
Akkusativ;der Ausdehnung;multa milia passuum distabat
Akkusativ;der Richtung;romam venio
Akkusativ;der Richtung;delphos properat
Akkusativ;der Richtung;domum redit
Akkusativ;doppelter;me consulem create
Akkusativ;doppelter;cives Ciceronem patrem vocaverunt
Ablativ;des Mittels;te ludibriis violo
Ablativ;des Mittels;romani socios exercitu adiuvant
Ablativ;des Grundes;donis gaudes
Ablativ;des Vergleichs;nihil carius est amore
Ablativ;des Vergleichs;celerius curro amicis
Ablativ;des Ausgangspunktes;roma venio
Ablativ;des Ausgangspunktes;domo
Ablativ;des Ortes;delphis sum
Ablativ;des Ortes;toto orbe terrarum bellum gerebatur
Ablativ;des Ortes;romani multis locis erant
Ablativ;der Preisangabe;magno emere
Ablativ;der Preisangabe;parvo vendere
Ablativ;des Masses;paulo post
Ablativ;des Masses;tibi multo praesto
Ablativ;des Masses;quo felicior sum, eo clementior
Ablativ;der Beziehung;tiibi prudentia praesto
Ablativ;der Zeit;anno p.Chr.n. decimo
Ablativ;der Zeit;teporibus antiquis
Ablativ;der Beschaffenheit;bono animo sum
Ablativ;der Trennung;auxilio tuo egeo
Ablativ;der Trennung;marcus pecunia privatus est